[21:24:51] TCP | 20.207.73.85 -> 192.168.0.100 | Ports 443 -> 50314 | Size: 284 bytes
[21:24:51] TCP | 192.168.0.100 -> 20.207.73.85 | Ports 50314 -> 443 | Size: 66 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 475 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 66 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1466 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 271 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 120 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 112 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:51] TCP | 151.101.38.172 -> 192.168.0.100 | Ports 443 -> 49810 | Size: 1494 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 269 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 263 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 140.82.114.22 -> 192.168.0.100 | Ports 443 -> 50315 | Size: 66 bytes
[21:24:51] TCP | 192.168.0.100 -> 140.82.114.22 | Ports 50315 -> 443 | Size: 54 bytes
[21:24:51] TCP | 192.168.0.100 -> 140.82.114.22 | Ports 50315 -> 443 | Size: 1939 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 944 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 944 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 478 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 942 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 267 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 916 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1466 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 372 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 263 bytes
[21:24:51] TCP | 192.168.0.100 -> 151.101.38.172 | Ports 49810 -> 443 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 261 bytes
